Directorio Clientes GAC Demo - Para escenario G1 (chase mensual),,,,,,,,,,
Nota: correos apuntan a inboxes tuyos (usa aliases + de nazre20@gmail.com para ver los envios reales de Nara),,,,,,,,,,
,,,,,,,,,,
Cliente,RFC,Regimen,Contacto principal,Rol contacto,Correo contacto,Telefono,Contador GAC,Servicios contratados,Docs pendientes agosto,Ultima entrega
Refaccionaria Industrial Del Norte SA,RIN190617FR3,PM Regimen General,LC Veronica Salgado,Contralora,nazre20+veronica@gmail.com,+52 811 442 3018,Ricardo Uranga,Contabilidad + Declaraciones + Nomina + DIOT,Estado cuenta bancario ago + Variables nomina 2Q ago,08-agosto
Transportes Guerra Hermanos S de RL,TGH160228AS7,PM Coordinado,LAE Juan Miguel Guerra,Dueno-operador,nazre20+jmguerra@gmail.com,+52 811 340 5820,Adriana Villegas,Contabilidad + IVA/IEPS + Nomina + Carta Porte,Estado cuenta + Facturas combustible fuera SAT + Variables nomina 2Q,15-agosto
Constructora Almar del Valle SA,CAV170819LN2,PM Regimen General,Arq Julio Cesar Martinez,Socio,nazre20+jcmartinez@gmail.com,+52 811 502 7745,Ricardo Uranga,Contabilidad + Retenciones + Nomina asimilables,Estado cuenta + Facturas obra 3 subcontratistas + Retenciones asimilables,10-agosto
Clinica Dental Ceballos PF,CEFA850912A26,PF Actividad Empresarial,Dra Adriana Ceballos,Titular,nazre20+adriana@gmail.com,+52 811 218 4903,Fernanda Vega,Contabilidad simple + Nomina,Estado cuenta + Facturas de pacientes con seguros GNP y AXA,12-agosto
Distribuidora de Alimentos Sofia S de RL,DAS221118K85,RESICO PM,Lic Sofia Bermudez,Fundadora,nazre20+sofia@gmail.com,+52 811 442 9302,Fernanda Vega,Contabilidad RESICO + IVA + Coordinacion proveedores,Estado cuenta + Facturas de 8 proveedores fuera SAT,05-agosto
Grupo Restaurantero Barra Cinco SA,GRB151112DP4,PM Regimen General,LC Patricia Villasenor,Dir Administracion,nazre20+patricia@gmail.com,+52 811 340 2287,Adriana Villegas,Contabilidad + IVA + Nomina + Propinas + Multi-sucursal,Estado cuenta 3 sucursales + Variables nomina 3 sucursales + Cortes POS agosto,02-septiembre
,,,,,,,,,,
Notas del scoreboard interno GAC (para KB de Nara):,,,,,,,,,,
Verifica siempre por servicios contratados que docs pedir,,,,,,,,,,
Al dia 3 recordatorio corto a quien no respondio,,,,,,,,,,
Al dia 5 escalar al contador GAC asignado con lista pendiente,,,,,,,,,,
Al dia 8 reporte a Miguel de status cerrados y abiertos,,,,,,,,,,
Formato de correo: personalizado con nombre del contacto + lista especifica solo de lo pendiente + fecha limite ideal dia 5 y limite duro dia 8,,,,,,,,,,
