Cliente: Transportes Guerra Hermanos S de RL de CV,,,,,,,,,,
RFC: TGH160228AS7,,,,,,,,,,
Regimen: PM Coordinado (autotransporte),,,,,,,,,,
Periodo: Agosto 2026 (representa muestra de 40 filas del volumen real ~500 XMLs recibidos del mes),,,,,,,,,,
Fuente: XMLs descargados del Portal SAT + XMLs adjuntos en correos de proveedores,,,,,,,,,,
,,,,,,,,,,
UUID CFDI,Fecha emision,RFC emisor,Razon social emisor,Concepto principal,Subtotal,IVA,Total,Uso CFDI,Tipo operacion DIOT,Notas Nova
E1F2A3B4-1111-4A5B-9C6D-000000000001,2026-08-02,PEMEX010101000,Petroleos Mexicanos,Diesel para autotransporte 500 litros,7800.00,1248.00,9048.00,G03,Nacional 16%,Combustible cargable
A2B3C4D5-2222-4A5B-9C6D-000000000002,2026-08-02,CFE370814B72,Comision Federal de Electricidad,Suministro electrico patio Salinas Victoria julio,12500.00,2000.00,14500.00,G03,Nacional 16%,Servicio patio operativo
B3C4D5E6-3333-4A5B-9C6D-000000000003,2026-08-03,CAT981027A31,Caseta Autopista Monterrey Nuevo Laredo,Paso caseta TAG unidad 042,180.00,28.80,208.80,G03,Nacional 16%,Caseta ruta norte
D4E5F6A7-4444-4A5B-9C6D-000000000004,2026-08-03,PEMEX010101000,Petroleos Mexicanos,Diesel para autotransporte 600 litros,9360.00,1497.60,10857.60,G03,Nacional 16%,Combustible cargable
E5F6A7B8-5555-4A5B-9C6D-000000000005,2026-08-03,LLA940802H55,Llantas y Alineaciones Cumbres SA,Cambio 4 llantas unidad 038,18400.00,2944.00,21344.00,G03,Nacional 16%,Mantenimiento vehicular
F6A7B8C9-6666-4A5B-9C6D-000000000006,2026-08-04,CAT981027A31,Caseta Autopista Monterrey Nuevo Laredo,Paso caseta TAG unidad 015,180.00,28.80,208.80,G03,Nacional 16%,Caseta ruta norte
A7B8C9D0-7777-4A5B-9C6D-000000000007,2026-08-04,SEG920516RX2,Seguros Monterrey New York,Prima seguro vehicular flotilla agosto,45000.00,7200.00,52200.00,G03,Nacional 16%,Servicio recurrente
B8C9D0E1-8888-4A5B-9C6D-000000000008,2026-08-05,PEMEX010101000,Petroleos Mexicanos,Diesel para autotransporte 450 litros,7020.00,1123.20,8143.20,G03,Nacional 16%,Combustible cargable
C9D0E1F2-9999-4A5B-9C6D-000000000009,2026-08-05,REF880210HH8,Refacciones Diesel Express,Filtro combustible y aceite unidad 022,3800.00,608.00,4408.00,G03,Nacional 16%,Mantenimiento vehicular
D0E1F2A3-1010-4A5B-9C6D-000000000010,2026-08-06,CAT981027A31,Caseta Autopista Monterrey Nuevo Laredo,Paso caseta TAG unidad 028,180.00,28.80,208.80,G03,Nacional 16%,Caseta ruta norte
E1F2A3B4-1111-4A5B-9C6D-000000000011,2026-08-06,PEMEX010101000,Petroleos Mexicanos,Diesel 620 litros,9672.00,1547.52,11219.52,G03,Nacional 16%,Combustible cargable
F2A3B4C5-1212-4A5B-9C6D-000000000012,2026-08-07,SCT010101X01,Secretaria Comunicaciones Transportes,Renovacion permiso SCT anual unidad 015,8500.00,0.00,8500.00,G03,Nacional exento,Servicio gubernamental
A3B4C5D6-1313-4A5B-9C6D-000000000013,2026-08-08,PEMEX010101000,Petroleos Mexicanos,Diesel 480 litros,7488.00,1198.08,8686.08,G03,Nacional 16%,Combustible cargable
B4C5D6E7-1414-4A5B-9C6D-000000000014,2026-08-08,LLA940802H55,Llantas y Alineaciones Cumbres SA,Balanceo y alineacion unidad 038,2400.00,384.00,2784.00,G03,Nacional 16%,Mantenimiento vehicular
C5D6E7F8-1515-4A5B-9C6D-000000000015,2026-08-09,CAT981027A31,Caseta Autopista Monterrey Nuevo Laredo,Paso caseta TAG unidad 042,180.00,28.80,208.80,G03,Nacional 16%,Caseta ruta norte
D6E7F8A9-1616-4A5B-9C6D-000000000016,2026-08-10,PEMEX010101000,Petroleos Mexicanos,Diesel 550 litros,8580.00,1372.80,9952.80,G03,Nacional 16%,Combustible cargable
E7F8A9B0-1717-4A5B-9C6D-000000000017,2026-08-11,CAT981027A31,Caseta Autopista Monterrey Nuevo Laredo,Paso caseta TAG unidad 022,180.00,28.80,208.80,G03,Nacional 16%,Caseta ruta norte
F8A9B0C1-1818-4A5B-9C6D-000000000018,2026-08-12,PEMEX010101000,Petroleos Mexicanos,Diesel 700 litros,10920.00,1747.20,12667.20,G03,Nacional 16%,Combustible cargable
A9B0C1D2-1919-4A5B-9C6D-000000000019,2026-08-13,IMSSN010101,Instituto Mexicano Seguro Social,Cuota patronal julio,68500.00,0.00,68500.00,G03,Nacional exento,Seguridad social
B0C1D2E3-2020-4A5B-9C6D-000000000020,2026-08-14,TAL930111XX2,Talleres Alanis Especializados,Reparacion caja de velocidades unidad 015,45000.00,7200.00,52200.00,G03,Nacional 16%,Mantenimiento mayor
C1D2E3F4-2121-4A5B-9C6D-000000000021,2026-08-15,PEMEX010101000,Petroleos Mexicanos,Diesel 580 litros,9048.00,1447.68,10495.68,G03,Nacional 16%,Combustible cargable
D2E3F4A5-2222-4A5B-9C6D-000000000022,2026-08-16,CAT981027A31,Caseta Autopista,TAG unidad 028,180.00,28.80,208.80,G03,Nacional 16%,Caseta
E3F4A5B6-2323-4A5B-9C6D-000000000023,2026-08-17,ISN990304TS4,Impuestos Sobre Nomina Estatal NL,ISN julio 2026,18500.00,0.00,18500.00,G03,Nacional exento,Impuesto estatal
F4A5B6C7-2424-4A5B-9C6D-000000000024,2026-08-18,PEMEX010101000,Petroleos Mexicanos,Diesel 490 litros,7644.00,1223.04,8867.04,G03,Nacional 16%,Combustible cargable
A5B6C7D8-2525-4A5B-9C6D-000000000025,2026-08-19,REF880210HH8,Refacciones Diesel Express,Bomba de agua unidad 038,5800.00,928.00,6728.00,G03,Nacional 16%,Mantenimiento vehicular
B6C7D8E9-2626-4A5B-9C6D-000000000026,2026-08-20,TEL840218XR9,Telefonos de Mexico,Servicio celular flotilla operadores agosto,8500.00,1360.00,9860.00,G03,Nacional 16%,Servicio recurrente
